"Date","wikipedians_tot","wikipedians_new","wikipedians_edits5","wikipedians_edits100","art_count_official","art_count_200ch","art_newperday","art_mean_edits","art_mean_bytes","art_size_halfkb","art_size_2kb","db_edits","db_size","db_size_words","links_int","links_interwiki","links_images","links_external","links_redirects"
"Mar 2015",867,11,64,17,"61 k","",13,17.3,"","","","33 k","","","","","","","22 k"
"Feb 2015",856,10,64,16,"61 k","",11,16.9,"","","","20 k","","","","","","","22 k"
"Jan 2015",846,24,70,15,"61 k","",9,16.6,"","","","15 k","","","","","","","21 k"
"Dec 2014",822,30,81,18,"60 k","",15,16.5,"","","","17 k","","","","","","","21 k"
"Nov 2014",792,18,62,15,"60 k","",9,16.3,"","","","14 k","","","","","","","21 k"
"Oct 2014",774,12,60,16,"60 k","",11,16.2,"","","","11 k","","","","","","","21 k"
"Sep 2014",762,6,51,14,"59 k","",9,16,"","","","8.6 k","","","","","","","20 k"
"Aug 2014",756,21,68,16,"59 k","",13,16,"","","","14 k","","","","","","","20 k"
"Jul 2014",735,11,55,16,"59 k","",14,15.8,"","","","26 k","","","","","","","20 k"
"Jun 2014",724,11,56,15,"58 k","",15,15.5,"","","","78 k","","","","","","","20 k"
"May 2014",713,4,41,13,"58 k","",8,14.3,"","","","15 k","","","","","","","20 k"
"Apr 2014",709,13,62,11,"57 k","",13,14.1,"","","","40 k","","","","","","","20 k"
"Mar 2014",696,22,67,19,"57 k","",34,13.5,"","","","37 k","","","","","","","19 k"
"Feb 2014",674,17,62,15,"56 k","34 k",18,13.1,2463,"44%","20%","12 k","330 MB","17.5 M","615 k","17 k","25 k","109 k","19 k"
"Jan 2014",657,17,72,17,"56 k","33 k",19,13,2436,"43%","20%","17 k","324 MB","17.2 M","607 k","17 k","25 k","108 k","19 k"
"Dec 2013",640,22,72,20,"55 k","32 k",23,12.8,2325,"37%","18%","17 k","311 MB","16.5 M","585 k","17 k","25 k","107 k","19 k"
"Nov 2013",618,6,37,12,"54 k","30 k",12,12.6,2291,"36%","16%","13 k","303 MB","16.1 M","574 k","17 k","25 k","105 k","18 k"
"Oct 2013",612,7,40,15,"54 k","28 k",7,12.5,2270,"35%","16%","13 k","299 MB","15.9 M","567 k","17 k","24 k","103 k","18 k"
"Sep 2013",605,7,48,12,"54 k","28 k",18,12.3,2252,"35%","16%","12 k","295 MB","15.7 M","563 k","17 k","24 k","101 k","17 k"
"Aug 2013",598,10,40,10,"53 k","27 k",8,12.2,2229,"34%","15%","7.6 k","290 MB","15.4 M","559 k","17 k","24 k","99 k","17 k"
"Jul 2013",588,7,35,9,"53 k","26 k",8,12.1,2207,"34%","15%","5.9 k","286 MB","15.1 M","555 k","19 k","24 k","98 k","16 k"
"Jun 2013",581,6,36,9,"53 k","26 k",8,12.1,2190,"33%","15%","11 k","282 MB","14.9 M","552 k","19 k","23 k","97 k","16 k"
